p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
0,-4.0420611607401,0.221,0.888,0,Nr4a1
6.738421959201824e-209,-2.7929007848369025,0.13,0.667,1.5728150694972977e-204,Crem
7.842402994491771e-206,-2.067344248691154,0.55,0.949,1.830495282944324e-201,Ccr7
3.427421701045498e-169,-1.606633424991708,0.418,0.897,7.999944992410297e-165,Cd83
1.2897245259656349e-143,-2.345575824769625,0.251,0.703,3.0103460160563885e-139,Vps37b
1.7287285583038882e-141,-1.8972841348361404,0.269,0.73,4.0350253279371053e-137,Tgif1
8.129099597088299e-122,-2.731750142998931,0.024,0.296,1.89741313695638e-117,Mir24-2
8.498042361120384e-101,-1.6363044187675966,0.375,0.743,1.9835280675091087e-96,Plaur
1.2821407087564734e-99,-1.936788481204832,0.049,0.331,2.9926446283084847e-95,B3gnt7
5.773528313572017e-99,-1.6729919185884041,0.469,0.849,1.3475992436708445e-94,Kdm6b
1.0054222899866453e-97,-0.740384376804105,0.969,1,2.3467561670578286e-93,H3f3b
5.919585579912173e-92,-2.1503309925305647,0.261,0.604,1.3816904702073004e-87,Litaf
1.5753661573045446e-89,-1.9012967377773835,0.222,0.569,3.677062147764538e-85,Cebpb
1.966538515122883e-84,0.6923562330708162,0.986,0.901,4.590097548148321e-80,Cd79b
2.2550444765739032e-83,-2.233690981867115,0.101,0.394,5.2634993127711476e-79,Dusp5
1.3824085503142878e-76,-0.887281010158099,0.912,0.975,3.226679797288579e-72,Ubc
6.100593205952253e-74,-0.8817145033840088,0.857,0.946,1.4239394602013154e-69,Srgn
4.026520457517757e-73,-1.116119650616322,0.255,0.612,9.398301399892196e-69,Rasgef1b
1.0076829373222951e-70,-1.6836933004858845,0.117,0.398,2.352032744003969e-66,Per1
1.6560864591529235e-70,-0.9262194222998046,0.836,0.955,3.865471404308839e-66,Junb
1.2971855978995388e-69,-0.6192342841237828,0.997,0.998,3.0277609040573132e-65,Fth1
2.8103160731597786e-69,-0.5243754774491967,0.988,0.995,6.559558746362239e-65,Gm1821
3.7434120181413895e-64,-1.0707143406960284,0.593,0.84,8.737497991543818e-60,Ier2
3.2270713289638926e-63,-1.8812336677328436,0.15,0.424,7.532307188934622e-59,Irs2
2.5860935662258895e-61,1.0517872190704107,0.648,0.284,6.036200992927848e-57,Zfp36l2
6.655317220535867e-61,-0.4904641441792865,0.902,0.998,1.5534175924452767e-56,H2-Aa
4.208479962924706e-60,-1.101630927988233,0.574,0.803,9.823013081462556e-56,Rel
1.5611903614787929e-58,-1.5837098912485397,0.117,0.37,3.6439744227276506e-54,Hs3st1
1.1335713437660333e-57,-0.4641334118471594,0.951,0.997,2.6458688734842983e-53,H2-Ab1
1.8850423544009614e-57,1.8058382160305273,0.602,0.299,4.3998773594072835e-53,Vpreb3
9.983317737945982e-57,-0.871790023421255,0.215,0.522,2.330206193213972e-52,Gpr132
3.1685329093942904e-55,-0.7480445113712895,0.774,0.92,7.395672663817213e-51,Hspa5
4.785226959769505e-55,0.7552722072763034,0.879,0.629,1.1169198246798002e-50,Apobec3
1.0714318638235814e-54,0.5702249298166979,0.943,0.806,2.5008291133506214e-50,Ptprcap
3.473133400170182e-54,1.0112037415849748,0.728,0.405,8.106640669337222e-50,Tnfrsf13c
2.952914750381965e-53,-0.8007920920171436,0.766,0.9,6.892398318866544e-49,Stk17b
5.94861869164653e-53,-2.2418047416160936,0.101,0.325,1.3884670888172165e-48,Rrad
3.568396678847787e-52,-0.46420707901877556,0.864,0.998,8.328994688098619e-48,H2-Eb1
4.0522237613284984e-52,-1.0130752196032002,0.289,0.601,9.458295481316848e-48,P2ry10
5.018411228122188e-52,-0.729610670498479,0.488,0.77,1.171347364756e-47,Satb1
6.156892997453506e-52,-2.0903406458710445,0.005,0.111,1.4370803945356227e-47,Nr4a3
1.3213237552993069e-51,1.030071083261114,0.685,0.367,3.084101777244112e-47,Il16
1.0826064093517423e-50,-0.8766724321364947,0.664,0.847,2.5269116200679017e-46,Cytip
2.912103373345336e-50,-1.6183361039367163,0.346,0.598,6.7971404837253486e-46,Klf6
7.207536476806566e-50,-2.7288888790001424,0.03,0.182,1.6823110890514204e-45,Bambi
2.772686882508345e-49,1.189739999442002,0.573,0.225,6.471728452462728e-45,Sema4b
1.5776741664221736e-48,-1.6476756051114414,0.463,0.646,3.682449271845995e-44,Cd69
3.2961307443158955e-48,-1.7393729173967523,0.186,0.425,7.693498770307732e-44,Gch1
4.4233064607844384e-48,-0.9699098998458044,0.672,0.809,1.0324439610116957e-43,Pnrc1
1.9269761345621452e-45,-0.4429728121064924,0.992,0.998,4.497754995681503e-41,Ubb
9.268878052940595e-44,-0.6724575891212208,0.914,0.958,2.163448826336864e-39,Zfp36l1
1.0460676258928131e-41,-1.0307500944423316,0.482,0.712,2.441626445596415e-37,Gpr171
1.2510017108959845e-41,-0.8181878641660507,0.821,0.894,2.9199630934023175e-37,Sub1
2.932303630196035e-41,0.9208600666566067,0.755,0.508,6.844289903240565e-37,Spib
8.9810880199769e-41,1.4636091175814059,0.559,0.279,2.0962757547428082e-36,Hist1h1e
1.737557752990748e-39,-1.7619256727893946,0.5,0.695,4.055633551255705e-35,Dusp1
3.1643051968078174e-39,-0.7912637112024061,0.792,0.897,7.385804759869127e-35,Btg2
1.2934588628485428e-38,-0.7639578162287162,0.474,0.726,3.0190623317747837e-34,Cxcr5
9.638847629795864e-38,1.0909385480560525,0.569,0.317,2.2498034252706526e-33,Tcf3
3.044345978903935e-37,0.7437028426951917,0.812,0.629,7.105807949359675e-33,Cnp
6.939373750321941e-37,1.8961350810743665,0.32,0.072,1.6197192270626443e-32,Fam129c
9.278559048392776e-37,0.9975983706095786,0.584,0.316,2.165708467485358e-32,Ikzf1
1.1142411935918067e-36,1.54876486772668,0.384,0.129,2.600750369962636e-32,Cbfa2t3
1.8305790713608265e-36,-1.039271222179503,0.368,0.602,4.272754610463305e-32,Tob2
