p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
3.068756264704361e-86,2.6977329624452877,0.75,0.005,7.162783997446449e-82,Fap
4.841472907342629e-86,2.4632289276029082,1,0.009,1.1300481913028431e-81,Ctgf
1.569801805207435e-85,2.066301375680232,1,0.009,3.6640743935346737e-81,Tmem221
4.8560909979915255e-85,4.566922961096959,1,0.01,1.1334601998412019e-80,Cgnl1
7.140489798539422e-85,4.312877740234123,1,0.01,1.6666617238770864e-80,Klf15
1.1555623069875916e-84,3.6468978524176947,1,0.01,2.6971979807397376e-80,Aldh1a2
1.9609307201982073e-84,2.994381858350517,1,0.01,4.5770083940146356e-80,C2
1.1012511860157182e-83,3.4737448447556205,1,0.01,2.570430393279288e-79,B430306N03Rik
6.992944563587886e-83,4.229390269565541,1,0.01,1.6322231905870485e-78,Thsd7a
8.052606202130647e-83,3.7306070361238817,1,0.01,1.8795588136393144e-78,Fam20a
1.067628138503551e-82,2.816034539439212,1,0.01,2.4919508380811383e-78,Bmpr1a
1.6291922456850205e-82,3.947678670798427,1,0.01,3.8026976206534065e-78,Hyal1
2.2625163410135067e-82,3.9100856742154417,1,0.01,5.280939391559626e-78,Arl11
2.2625163410135067e-82,3.2502334553127668,1,0.01,5.280939391559626e-78,Gp49a
2.320031716169388e-81,4.727846613215938,1,0.01,5.415186028710968e-77,Fbln7
2.6638463016600544e-81,4.386078835009846,1,0.01,6.217683652704733e-77,Lyz1
4.627481111762965e-81,2.8598010711548407,1,0.01,1.0801003662965937e-76,Myl7
5.823306326519886e-81,4.899298062887949,1,0.01,1.3592179296730065e-76,Pigz
6.998170623205391e-81,3.3685539870524064,1,0.01,1.6334430051623704e-76,Ptprm
8.409290079908528e-81,2.7217529836825154,1,0.01,1.9628123975514496e-76,Ptprk
1.2139161707824877e-80,2.9684292760372193,1,0.01,2.8334017342234045e-76,Adamtsl2
2.6923767359931343e-80,1.8042413092234806,0.5,0.002,6.284276539481575e-76,Lrrtm3
4.2455850200226495e-80,2.795574037854183,0.5,0.002,9.909619995234866e-76,Ccl24
1.549501130797299e-79,4.730334021011472,1,0.01,3.616690589393975e-75,Ifi204
1.549501130797299e-79,3.928951530900946,1,0.01,3.616690589393975e-75,Lsamp
1.6424117632494763e-79,2.8980092911123174,1,0.01,3.8335532966006025e-75,Tigd5
1.769186366798564e-79,1.9134172497191797,0.75,0.006,4.129457898744528e-75,Gabra3
4.988126213134946e-79,3.410597439298002,1,0.01,1.1642785394078276e-74,Pkd2
9.774941480317087e-79,3.7190171175732134,1,0.01,2.2815690909208113e-74,Tmem141
9.774941480317087e-79,3.4996799082786127,1,0.01,2.2815690909208113e-74,Sh3bp4
2.735570054082784e-78,2.3736442706845784,1,0.01,6.3850940632346266e-74,Smarcd3
4.674295182978557e-78,2.8875050962740185,1,0.01,1.091027238659025e-73,Bbs7
5.1104587183570995e-78,3.2145006658339272,1,0.01,1.1928321694517306e-73,Zfp184
7.555337286480263e-78,4.430976642923379,1,0.011,1.7634912760373583e-73,Gja4
1.0747025796324239e-77,4.352974779252391,1,0.011,2.5084632911200407e-73,Ptplad2
2.26974490033865e-77,3.516827019034504,1,0.011,5.297811571880443e-73,Ccdc109b
3.0865339081410228e-77,3.626197269567931,1,0.011,7.204278794991961e-73,Sestd1
4.4095069669654665e-76,4.422990119187322,1,0.011,1.0292230211594096e-71,Sema6d
1.4088938663990653e-75,3.4546477227109014,1,0.011,3.2884991735620585e-71,Gpr160
1.4860863186325563e-74,3.6552888031646673,1,0.011,3.46867407632025e-70,Prex2
6.768862240262214e-74,3.678385740622398,1,0.011,1.5799201354996035e-69,Arhgap22
9.471924375314522e-74,3.16358385806818,1,0.011,2.2108418684421626e-69,1700019D03Rik
3.5284254396247313e-73,3.743249056914723,1,0.011,8.235697818628085e-69,Tpbg
9.128732231883924e-73,3.747509381460849,1,0.011,2.130737390244027e-68,P4ha2
3.2730162103832223e-72,3.9932779068361137,1,0.011,7.639547136655479e-68,Adhfe1
1.3022610437779027e-71,5.471035136735046,1,0.012,3.039607502282003e-67,Clec4a3
1.4927362673290606e-71,1.4805040352484222,1,0.011,3.484195721572761e-67,Tle6
2.4071774207580433e-71,3.312547808490433,0.75,0.006,5.6185928177913486e-67,Ptgfrn
2.6987417901536164e-71,4.1826119135757,1,0.012,6.299133212397556e-67,Sh3bgrl2
3.151466394563837e-71,3.062154460482496,0.75,0.006,7.355837711551452e-67,Itih2
4.042641877871977e-71,3.6545885788472314,1,0.012,9.435930407140982e-67,Car9
1.6564981392611064e-70,3.410479123282899,1,0.012,3.8664323068493484e-66,Sytl2
2.0401017615388063e-70,4.023353694668144,1,0.012,4.761801521607727e-66,Tmem47
2.1779760633960783e-70,1.6686197843953363,0.75,0.006,5.083613929572787e-66,Accn2
3.420746913785649e-70,4.10941767928334,1,0.012,7.984365371467084e-66,Slc7a8
5.730919261561056e-70,3.705088166747698,1,0.012,1.337653864840966e-65,Acot1
1.0383662792072651e-69,3.345341312291274,1,0.012,2.4236507322976775e-65,Kank2
4.4159706039373806e-69,4.4501774793078175,1,0.012,1.0307316986650241e-64,Abca9
3.6075495842314016e-68,2.6976181418925376,1,0.012,8.420381484554515e-64,Hspg2
4.975746556696283e-68,2.482818832709422,0.5,0.003,1.1613890037984794e-63,Tlr8
7.89815411854531e-68,1.3264073789334967,0.5,0.003,1.8435081528096606e-63,Ccdc8
7.902192836891897e-68,1.2527860480660329,0.75,0.007,1.8444508300589377e-63,Epb4.2
9.133583647015617e-68,2.9850025125488084,1,0.012,2.1318697590499153e-63,Pbx3
1.0711235452952047e-67,3.897594681732167,1,0.012,2.500109467073537e-63,Podxl
1.1739820151800508e-66,3.967870221646238,1,0.013,2.7401914216317567e-62,Col8a1
1.1821263545983498e-66,3.089936645055114,1,0.012,2.7592011242680084e-62,Ust
1.2656970561138896e-66,4.19393287716374,1,0.013,2.9542634986754296e-62,Olfml1
1.775153844917657e-66,3.845397911381964,1,0.013,4.143386589422303e-62,Cebpa
1.8430990927626755e-66,3.7211661760682833,1,0.013,4.301977592417361e-62,Havcr2
3.0439442021749796e-66,2.9754154121502077,0.75,0.007,7.10487016229662e-62,C130050O18Rik
3.0439442021749796e-66,1.8952577633335423,0.75,0.007,7.10487016229662e-62,Plekha6
3.6209900531272067e-66,2.624598582015423,1,0.013,8.4517528830042125e-62,Epb4.1l1
5.024237184146033e-66,1.3868795087850156,0.75,0.007,1.1727072011515255e-61,Rab13
7.654473300205496e-66,3.0243227833553616,1,0.013,1.7866306130009647e-61,Agrn
1.235629413886989e-65,1.51115443830321,0.75,0.007,2.884082614953621e-61,Gm2011
2.0964592264702843e-65,1.8141233216820687,1,0.013,4.8933454805042906e-61,Olfm1
2.292276937413343e-65,3.6625645712409733,1,0.013,5.350403599616484e-61,Gpnmb
3.0791293718526737e-65,3.5640688262860296,1,0.013,7.186995866841326e-61,Clip3
3.31472928254905e-65,3.3284287950531666,1,0.013,7.736909618397737e-61,Antxr1
4.970672708144881e-65,3.34871442377108,1,0.013,1.1602047168080966e-60,Bmp4
9.663385004982015e-65,3.2710180628813528,0.75,0.007,2.2555306940128523e-60,Slc22a1
2.0956355727880618e-64,5.319295369207526,1,0.013,4.891422990444615e-60,Ms4a6d
3.107715161151594e-64,2.068160942776169,0.75,0.007,7.253717957643936e-60,Gjc1
3.2387147969598444e-64,3.7729943036156834,1,0.013,7.559484207583973e-60,Cbs
3.2387147969598444e-64,3.68426326498449,1,0.013,7.559484207583973e-60,Leprel2
4.652679442374122e-64,3.488827420473692,1,0.013,1.0859819086445439e-59,Fam115a
5.79384505700903e-64,2.408813891180785,1,0.013,1.3523413747564777e-59,Mdk
6.129585087656519e-64,1.6280965478527858,0.75,0.007,1.430706455309908e-59,Megf8
7.809376785393271e-64,2.027132735521415,0.75,0.007,1.8227866354786434e-59,Espn
1.440868518770905e-63,1.2405685470760925,1,0.013,3.3631312096631697e-59,Cc2d2a
1.972658471125593e-63,3.3266427138389716,1,0.013,4.604382137454247e-59,Aifm2
2.0450087777971774e-63,2.4356011109919287,1,0.013,4.773254988256392e-59,5730409E04Rik
2.3575683934690002e-63,4.745884888563473,1,0.013,5.502800387195994e-59,Pdgfrl
3.384494946029204e-63,2.600410437448609,1,0.013,7.899749653526765e-59,Oplah
4.8089537169819026e-63,4.1214917995526275,1,0.013,1.122457887080746e-58,Igsf6
1.1285752196945082e-62,3.2943918850142686,1,0.013,2.6342074202889515e-58,Aqp7
1.4989103632390637e-62,2.445159064835452,1,0.013,3.498606678836299e-58,Galm
3.3456523710832038e-62,4.409247294821438,1,0.014,7.809087199345306e-58,Mxra7
6.6187675838155e-62,2.966482814716043,1,0.013,1.544886541738376e-57,Stox1
1.2925283775760187e-61,2.4101808533894418,1,0.013,3.016890486100185e-57,Spef1
1.482722018851507e-61,1.5127225155353579,0.75,0.007,3.460821464201302e-57,Xylb
