p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue
0,1.0518217842338962,0.918,0.505,0,3,Ltb,Spleen
0,0.9617404568303551,0.912,0.535,0,3,Ms4a1,Spleen
0,0.8533147202505753,0.979,0.794,0,3,Ly6d,Spleen
0,0.680444989542321,0.985,0.862,0,3,Cd79b,Spleen
0,0.6692784046781264,0.994,0.939,0,3,Cd52,Spleen
2.0404359982506613e-282,1.0093827886130677,0.892,0.773,4.7625816635168684e-278,3,Rn45s,Spleen
2.8581371430008533e-249,0.46076648267419396,0.995,0.988,6.671177905478292e-245,3,Pfn1,Spleen
1.1656682610520957e-243,0.5436610774120898,0.959,0.873,2.7207862881216965e-239,3,Arhgdib,Spleen
1.9226605020815825e-242,0.5066260988240261,0.98,0.938,4.487681877908622e-238,3,Coro1a,Spleen
1.2523678064123383e-224,0.7902392000187005,0.743,0.423,2.923151696947039e-220,3,Ptpn6,Spleen
1.4561732829411136e-187,0.8910927802288057,0.499,0.169,3.3988540597128534e-183,3,Cr2,Spleen
9.435040754025028e-176,0.5404067451503594,0.874,0.702,2.2022328623969817e-171,3,Ctss,Spleen
5.683055312512668e-174,0.4170433094966881,0.918,0.85,1.3264819404935816e-169,3,Cyba,Spleen
2.5243460954440076e-171,0.4689758146614458,0.935,0.779,5.892076221375858e-167,3,Ptprcap,Spleen
1.1435497322451558e-169,0.4163280856139089,0.947,0.898,2.669159430033418e-165,3,Cd37,Spleen
8.712197250759994e-169,0.5324738230571979,0.864,0.724,2.0335139602998902e-164,3,Actr3,Spleen
3.01402076275619e-167,0.4993614879037793,0.838,0.71,7.035025862349223e-163,3,Psmb8,Spleen
2.070459097469585e-146,0.29854112114749,0.994,0.993,4.832658579403758e-142,3,Cd79a,Spleen
1.0353553175517899e-145,0.6479133684621498,0.589,0.312,2.4166228466976327e-141,3,Swap70,Spleen
8.340987434499443e-145,0.5495581454326555,0.746,0.52,1.9468698770865151e-140,3,Gimap1,Spleen
3.663577398525587e-142,0.5417026726562282,0.714,0.506,8.551156005898572e-138,3,Ly86,Spleen
9.972467483705294e-142,0.36063641747191433,0.986,0.971,2.3276736353716525e-137,3,Sh3bgrl3,Spleen
3.222473511249887e-141,0.6812634946646838,0.527,0.254,7.521575422608362e-137,3,Filip1l,Spleen
5.3301528503851864e-139,0.5634283097990969,0.706,0.516,1.2441109768084063e-134,3,Lcp1,Spleen
2.4128975722225388e-138,0.5781442799700156,0.864,0.665,5.631944223324627e-134,3,Faim3,Spleen
4.538850524411789e-137,0.6226925768979092,0.701,0.442,1.0594131009029556e-132,3,Tnfrsf13c,Spleen
4.704003985429362e-137,0.5080209293097409,0.805,0.657,1.0979615702390674e-132,3,Grcc10,Spleen
2.1799856479970095e-133,0.49437260341779354,0.819,0.632,5.08830450098982e-129,3,Apobec3,Spleen
7.026338281423497e-131,0.5753195167370486,0.702,0.483,1.6400176182670585e-126,3,Capg,Spleen
6.807490345243384e-129,0.5528182678700186,0.705,0.446,1.5889363214832584e-124,3,Arpc5l,Spleen
3.092949480314565e-123,0.5986874306562677,0.583,0.326,7.219253382002226e-119,3,Cd22,Spleen
2.6265386699225815e-120,0.34434654972619194,0.962,0.832,6.130603909466297e-116,3,Shisa5,Spleen
3.51978530075214e-120,0.511386578647073,0.66,0.5,8.21553087048557e-116,3,Ptprc,Spleen
1.3640155284881002e-119,0.6132154962339249,0.498,0.216,3.183748645044075e-115,3,Rnase6,Spleen
3.4281082649392793e-118,0.5716166617251881,0.615,0.428,8.001547501194772e-114,3,Mndal,Spleen
7.35940162306143e-113,0.3441233671116235,0.945,0.892,1.7177579328387687e-108,3,Rac2,Spleen
