p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue
0,0.47120721820593303,0.986,0.821,0,0,H2-Ab1,Spleen
0,0.4388156723836456,0.986,0.756,0,0,H2-Aa,Spleen
0,0.39791297127242764,0.993,0.881,0,0,Cd74,Spleen
0,0.389940910824075,0.982,0.703,0,0,H2-Eb1,Spleen
8.99699909577764e-162,0.5526404338156476,0.965,0.779,2.099989558945459e-157,0,Shisa5,Spleen
1.2922353340900935e-157,0.47369155801674534,0.979,0.873,3.0162064932996873e-153,0,Cd52,Spleen
1.2804848724098157e-154,0.5055472530483627,0.907,0.623,2.988779740691751e-150,0,H2-DMb2,Spleen
3.082978415055528e-110,1.6719633001988212,0.578,0.244,7.195979918581108e-106,0,Cr2,Spleen
1.5785654079598433e-93,0.5127528571384499,0.922,0.675,3.68452951871907e-89,0,Ms4a1,Spleen
5.4025382759098925e-77,0.49748169563428135,0.839,0.586,1.261006458980128e-72,0,Ltb,Spleen
7.795131602293539e-72,0.4501474101496825,0.781,0.591,1.819461667291335e-67,0,H2-DMa,Spleen
3.0447327243928566e-65,0.784762942728511,0.864,0.719,7.106710652005367e-61,0,Lcp1,Spleen
2.1430609512306163e-62,0.7403494593809086,0.654,0.46,5.002118566267381e-58,0,Ly6a,Spleen
8.179150778639569e-62,0.32034155819209786,0.999,0.999,1.9090955832422618e-57,0,Rps29,Spleen
3.944451114054388e-59,0.43825654996881447,0.879,0.69,9.206743345314347e-55,0,Faim3,Spleen
5.782514632989293e-58,0.2645242367425684,0.998,0.997,1.3496967404860309e-53,0,Rpl13,Spleen
1.0284453691279481e-55,0.7959663988513297,0.977,0.973,2.4004943360815436e-51,0,Lars2,Spleen
2.6778289304052673e-52,0.5090030271764485,0.886,0.747,6.250320506458935e-48,0,Ctss,Spleen
3.6788065732192824e-50,0.6281663005236666,0.756,0.528,8.586702422551127e-46,0,Bank1,Spleen
1.3308667143601944e-47,0.26344145449539536,0.99,0.986,3.1063759979881295e-43,0,Rplp1,Spleen
5.559588406893021e-45,0.7829736648318066,0.452,0.224,1.2976635300529001e-40,0,Icosl,Spleen
3.0247789851661027e-44,0.5298387506158058,0.872,0.76,7.0601366292762e-40,0,Ptpn6,Spleen
2.1701427810614615e-43,0.28150900168262005,0.97,0.923,5.065330265275557e-39,0,Mir682,Spleen
3.096230574491158e-39,0.5545880534035152,0.629,0.438,7.226911783919812e-35,0,H2-Oa,Spleen
8.8180463942787e-37,0.5769490798323877,0.677,0.459,2.0582202088885913e-32,0,Fcer2a,Spleen
2.3003074961237156e-34,0.6292829157560345,0.723,0.553,5.369147726702365e-30,0,Cd22,Spleen
4.461183044368652e-34,0.5304408241563241,0.712,0.51,1.0412847343860872e-29,0,Fcrl1,Spleen
5.350966643367113e-32,1.1001285567948136,0.347,0.189,1.2489691242283178e-27,0,Lax1,Spleen
2.179135384618876e-31,0.29808858855030884,0.861,0.763,5.086319901238918e-27,0,Il2rg,Spleen
2.2755264434054342e-30,0.40485112342067975,0.693,0.508,5.311306271552624e-26,0,Ctsh,Spleen
1.2227266802146246e-29,0.2543355203269897,0.974,0.952,2.853966344288955e-25,0,Rps21,Spleen
1.8393037351318337e-29,1.3436046463453835,0.301,0.178,4.293118848171213e-25,0,Dtx1,Spleen
5.791798656668117e-29,0.4440725437493356,0.662,0.559,1.3518637244529052e-24,0,Capg,Spleen
6.167927390003278e-29,0.4500723102951092,0.743,0.633,1.439655932100665e-24,0,Ly86,Spleen
7.537389061986094e-29,0.6535989192244882,0.513,0.33,1.7593019809581743e-24,0,Gimap4,Spleen
4.814100327777851e-28,0.27312419658268006,0.833,0.704,1.1236591575066281e-23,0,Gimap6,Spleen
8.500100163690645e-28,0.6192666060941114,0.512,0.331,1.9840083792070335e-23,0,Bcl2,Spleen
1.0105426795131305e-27,0.5825868729739287,0.566,0.394,2.358707668251598e-23,0,Cxcr5,Spleen
6.157865113778036e-26,0.8632566445658236,0.33,0.173,1.4373072962069313e-21,0,1300014I06Rik,Spleen
1.748360748588111e-25,0.36139671430475406,0.818,0.699,4.08084882327951e-21,0,H2-Ob,Spleen
3.61345177033453e-25,0.5994383500366753,0.493,0.328,8.434157777137826e-21,0,Ms4a4c,Spleen
7.327411431694384e-25,0.254763212682791,0.961,0.952,1.710291102271786e-20,0,Rpl38,Spleen
7.746271005102827e-24,0.2813088442826768,0.968,0.965,1.8080571153010508e-19,0,Coro1a,Spleen
1.157751387400888e-23,0.7674521334427773,0.385,0.233,2.7023075133324125e-19,0,Rhof,Spleen
4.2641878817632053e-23,0.8925459984142758,0.453,0.302,9.953040934823497e-19,0,Ciita,Spleen
5.892892818085907e-23,0.8193933144807857,0.324,0.265,1.3754601126694315e-18,0,Trim7,Spleen
3.1617866922720185e-22,0.48969165117728863,0.752,0.651,7.379926318432118e-18,0,Cnn2,Spleen
6.036045640785046e-22,0.6715863108406532,0.343,0.2,1.4088734130156376e-17,0,Gimap7,Spleen
3.191933517863181e-21,0.7856227620224021,0.371,0.221,7.45029202404445e-17,0,Gimap8,Spleen
2.778247949872431e-20,0.5025267515625504,0.67,0.549,6.484708539797242e-16,0,Filip1l,Spleen
2.9697139831758626e-20,0.5458975388909559,0.297,0.206,6.931609408130781e-16,0,Bmyc,Spleen
8.395201885140227e-20,0.48982056310737754,0.879,0.862,1.9595240720105804e-15,0,Actr3,Spleen
1.0301398283536997e-19,0.37942844816401156,0.927,0.872,2.4044493733603703e-15,0,Ptprc,Spleen
1.5230737924781514e-19,0.8167336959919282,0.261,0.137,3.555006539023253e-15,0,Tlr1,Spleen
2.198655319737841e-19,0.6281318375092351,0.6,0.512,5.131881381800095e-15,0,Sipa1,Spleen
2.794449938880939e-19,0.4991242940902705,0.577,0.467,6.522525602341999e-15,0,Mif4gd,Spleen
3.529603946414066e-19,0.26092651473317297,0.992,0.993,8.238448571325072e-15,0,Pfn1,Spleen
4.1601342838913926e-19,0.42558928902702053,0.407,0.259,9.7101694320309e-15,0,March1,Spleen
4.9799116404286915e-19,0.4525560293391626,0.514,0.36,1.1623611759924609e-14,0,Gimap3,Spleen
1.7974908699015626e-18,0.6949326315237618,0.327,0.198,4.195523439437237e-14,0,Cnr2,Spleen
3.8520050296434074e-18,0.3532916688718206,0.686,0.572,8.990964939690677e-14,0,Gimap1,Spleen
5.009755520481947e-18,0.4690579467097482,0.494,0.38,1.1693270360356913e-13,0,Gpr18,Spleen
7.014271328692103e-18,0.5329449058163567,0.558,0.53,1.6372010708300237e-13,0,Lrrc33,Spleen
8.168900248728976e-18,0.8540799079397545,0.255,0.144,1.9067030070558302e-13,0,Cd36,Spleen
1.4938679161420772e-17,0.2508026689896372,0.952,0.943,3.4868371030672223e-13,0,Rpl12,Spleen
2.0342269493574967e-17,0.5737451719812867,0.455,0.328,4.748089122495333e-13,0,Tspan32,Spleen
1.9863257334904388e-16,0.5803681096111273,0.544,0.468,4.636282894540033e-12,0,Gga2,Spleen
1.9910374172426033e-16,0.26243402061326115,0.952,0.956,4.6472804355859604e-12,0,Rps2,Spleen
2.773547343657019e-16,0.8028592147016909,0.294,0.172,6.473736854829848e-12,0,Pydc3,Spleen
4.520776251376364e-16,0.2689079932872698,0.417,0.494,1.0551943848337572e-11,0,Cdc42se2,Spleen
