p_val,avg_logFC,pct.1,pct.2,p_val_adj,tissue_subtissue,genes
1.5793688817258626e-111,2.2948194036340546,0.942,0.316,3.6864049068363357e-107,Fat: BAT,Nr4a1
2.6648299704577804e-87,2.50354202069696,0.44,0.055,6.219979634045505e-83,Fat: BAT,Mir24-2
5.834276099410542e-80,1.9262224806913926,0.974,0.607,1.3617783843634147e-75,Fat: BAT,Ccr7
1.1208022686218138e-57,1.3719127316597381,0.921,0.487,2.6160645751901755e-53,Fat: BAT,Cd83
6.71615760890033e-52,1.4575861116947397,0.665,0.21,1.5676183474934262e-47,Fat: BAT,Crem
1.29734661832192e-49,0.8802221345722492,1,0.973,3.028136741825193e-45,Fat: BAT,H3f3b
1.2811395102271469e-47,1.937718179090135,0.785,0.372,2.9903077308211834e-43,Fat: BAT,Klf6
1.756342339164356e-37,1.8111802411833624,0.78,0.482,4.099478653843523e-33,Fat: BAT,Cd69
5.014896803704743e-37,1.4887849793152794,0.723,0.338,1.1705270629527241e-32,Fat: BAT,Tgif1
2.408044782095235e-36,1.4852717087161809,0.979,0.917,5.620617325888487e-32,Fat: BAT,Jund
3.003378665718119e-35,1.4413422443023194,0.691,0.318,7.010186143652662e-31,Fat: BAT,Vps37b
8.158567010298495e-35,0.991723056269727,0.963,0.853,1.904291125873772e-30,Fat: BAT,Junb
2.2501386592691138e-33,0.5057821154244024,1,0.988,5.252048644600038e-29,Fat: BAT,Gm1821
5.143299407143801e-32,1.3133634027229135,0.455,0.141,1.2004975146214348e-27,Fat: BAT,Dusp5
5.418804070083114e-32,0.5471612291191414,1,0.993,1.2648030579980997e-27,Fat: BAT,Ubb
1.7714351968465228e-30,0.8429541031210741,0.979,0.797,4.134706892959469e-26,Fat: BAT,Klf2
2.983110211224806e-30,1.9549404292296737,0.853,0.525,6.96287754401982e-26,Fat: BAT,Kdm6b
8.048767345118946e-30,1.3797041323283388,0.743,0.429,1.8786627860242132e-25,Fat: BAT,Plaur
1.0343486440987429e-29,1.8823520831230178,0.848,0.721,2.414273170190876e-25,Fat: BAT,Fos
9.70324036860768e-29,0.5479772312831841,1,0.997,2.2648333344367186e-24,Fat: BAT,Fth1
1.7514063768213708e-28,1.7344458344335214,0.586,0.272,4.087957624138762e-24,Fat: BAT,Cebpb
7.076027464694125e-27,0.7310503088049378,0.99,0.92,1.6516155705342557e-22,Fat: BAT,Ubc
8.195682165706624e-27,0.8392395550696277,0.942,0.87,1.912954174297583e-22,Fat: BAT,Srgn
5.750209607443318e-26,1.3589185325220052,0.707,0.422,1.342156424473345e-21,Fat: BAT,Gpr183
1.8407022314821675e-24,0.8210197382061359,0.953,0.834,4.296383078502527e-20,Fat: BAT,Tsc22d3
1.9065858723947526e-24,-0.8175782938745471,0.869,0.949,4.450162084756592e-20,Fat: BAT,Serinc3
4.2303275391390915e-24,-1.4183841385122165,0.267,0.644,9.874007509104553e-20,Fat: BAT,Il16
4.742186047130405e-24,1.1742167829099222,0.832,0.63,1.1068736452607078e-19,Fat: BAT,Ier2
3.983404104135097e-23,1.6165570418114799,0.764,0.524,9.29766351946173e-19,Fat: BAT,Dusp1
7.625057791040718e-23,1.3764591239517525,0.597,0.316,1.779764739006814e-18,Fat: BAT,Ppp1r15a
8.98618334521277e-23,0.34706010561239964,1,1,2.0974650546061128e-18,Fat: BAT,Malat1
3.674333520046867e-22,-0.6216893552671889,0.859,0.976,8.576261869141392e-18,Fat: BAT,Cd79b
1.2334150707392316e-21,1.1032366893690977,0.419,0.157,2.8789141166124403e-17,Fat: BAT,Per1
3.7651462117596575e-21,-1.20787380834653,0.236,0.597,8.788227772868217e-17,Fat: BAT,Zfp36l2
4.873429793545221e-20,1.2254714066033658,0.707,0.458,1.13750724811139e-15,Fat: BAT,Tuba1a
5.429143734552629e-20,0.5219695945671354,0.639,0.306,1.2672164390819292e-15,Fat: BAT,Rasgef1b
6.388363930025662e-20,-1.0703364506167574,0.34,0.685,1.4911080249072898e-15,Fat: BAT,Tnfrsf13c
9.155105815715868e-20,1.1983179118085063,0.759,0.513,2.1368932484462407e-15,Fat: BAT,Gpr171
2.2199945723011737e-19,0.569129811092628,0.995,0.977,5.18168933120817e-15,Fat: BAT,Eif1
3.209495812317858e-18,0.44538903198726487,1,0.958,7.491284175531112e-14,Fat: BAT,H2-Ab1
8.31819613867403e-18,1.067208673797646,0.455,0.209,1.9415501607279052e-13,Fat: BAT,Insig1
1.486949760829809e-17,-0.7530727659426395,0.597,0.844,3.4706894367528576e-13,Fat: BAT,Apobec3
3.1252529012684016e-17,0.3875419255952348,1,0.916,7.294652796850576e-13,Fat: BAT,H2-Aa
4.8540081682505564e-17,1.2709512447545723,0.723,0.551,1.1329740465513623e-12,Fat: BAT,Atf4
5.472321382157229e-17,0.6403798659247055,0.927,0.795,1.2772945338093187e-12,Fat: BAT,Hspa5
1.1835660376927696e-16,-0.6637483521160545,0.901,0.951,2.7625614885786935e-12,Fat: BAT,Eef2
1.6020163213678132e-16,0.6285166751437625,0.901,0.785,3.739266295704613e-12,Fat: BAT,Stk17b
1.941712523232809e-16,-0.6226780023700869,0.906,0.974,4.532151200477699e-12,Fat: BAT,Lars2
2.0913388908771949e-16,1.264032411877344,0.393,0.173,4.8813941051964605e-12,Fat: BAT,Plk2
2.1990460428044574e-16,0.9264467051635847,0.466,0.226,5.132793368509884e-12,Fat: BAT,Tagap
2.326277141256578e-16,1.4051514730533752,0.55,0.315,5.4297634754069786e-12,Fat: BAT,Litaf
2.579068612502112e-16,1.9082764623299044,0.194,0.052,6.01980404844118e-12,Fat: BAT,Bambi
2.7557828881270675e-16,-0.49251840736487384,0.77,0.925,6.432272839177388e-12,Fat: BAT,Ptprcap
2.763168573753501e-16,-1.8191578422182433,0.298,0.558,6.449511767998047e-12,Fat: BAT,Vpreb3
3.215406005910525e-16,-1.1469165826809156,0.188,0.524,7.505079158395757e-12,Fat: BAT,Sema4b
6.184241124749877e-16,-1.2864175785685,0.251,0.548,1.4434637209278689e-11,Fat: BAT,Ikzf1
8.249735515133198e-16,0.9184307378042815,0.424,0.186,1.92557076658724e-11,Fat: BAT,Rhob
1.9192885889199326e-15,0.7416618548808667,0.262,0.085,4.479811495398015e-11,Fat: BAT,Pmaip1
2.900835979023221e-15,0.43367171314347264,0.801,0.528,6.7708412586381e-11,Fat: BAT,Satb1
3.684441157080265e-15,0.7415884018227468,0.901,0.832,8.599854104741047e-11,Fat: BAT,Sub1
3.813363336836463e-15,-0.8804947095111713,0.466,0.721,8.900771364509989e-11,Fat: BAT,Spib
5.373682515437576e-15,-0.9301556067440471,0.304,0.596,1.2542712359282845e-10,Fat: BAT,Rbm25
8.078831050273491e-15,-0.7393521035265387,0.597,0.833,1.8856799554443357e-10,Fat: BAT,Msn
1.3891011114217183e-14,0.35706416078262393,0.995,0.884,3.242300904169433e-10,Fat: BAT,H2-Eb1
1.828890121068989e-14,-1.0828529789101706,0.366,0.633,4.2688124315871275e-10,Fat: BAT,Atp2a3
3.9203802132196575e-14,1.2335950712646935,0.304,0.116,9.150559455676002e-10,Fat: BAT,Gcg
5.936872662638901e-14,-1.6774659852826068,0.168,0.437,1.385725448186546e-9,Fat: BAT,Mgat1
8.927237398862944e-14,-0.7159177047509235,0.702,0.858,2.0837064812686e-9,Fat: BAT,Psap
9.603244546835278e-14,-1.2606963165400202,0.435,0.638,2.241493309676822e-9,Fat: BAT,Tram1
2.1622095194322526e-13,-0.4511277898151871,0.581,0.831,5.046813239306821e-9,Fat: BAT,Arglu1
2.8291878674216445e-13,0.6623445486991164,0.963,0.921,6.603607401348861e-9,Fat: BAT,Zfp36l1
2.9408266187575396e-13,1.0283196919395357,0.503,0.286,6.864183410841973e-9,Fat: BAT,Gem
3.531955043781206e-13,0.545605660822017,0.445,0.222,8.243936267689714e-9,Fat: BAT,Mgp
4.3166156634998316e-13,0.7200532464560174,0.738,0.511,1.0075412620174957e-8,Fat: BAT,Cxcr5
4.699487810152196e-13,-1.2170031651371538,0.403,0.64,1.096907449767624e-8,Fat: BAT,Wdr1
5.087230623816866e-13,0.3751044441481888,0.995,0.981,1.1874104999050947e-8,Fat: BAT,Ftl1
5.981209711895246e-13,-1.3473846138246142,0.44,0.649,1.3960741588534693e-8,Fat: BAT,Vars
6.674974004993734e-13,-1.8342092162521442,0.236,0.468,1.5580056825055873e-8,Fat: BAT,Marcks
7.05362371935124e-13,1.4395427883644878,0.429,0.221,1.646386312333773e-8,Fat: BAT,Gch1
1.2645473080998258e-12,-1.6865372605124267,0.099,0.348,2.9515798718358034e-8,Fat: BAT,Cbfa2t3
1.6663138791617193e-12,-0.5656074409686731,0.864,0.928,3.8893432253513694e-8,Fat: BAT,Hnrnpa2b1
3.837584496700298e-12,0.8860040565796812,0.759,0.695,8.957305973748166e-8,Fat: BAT,Pnrc1
4.247317772873877e-12,0.35274577509775185,1,0.999,9.913664413664915e-8,Fat: BAT,Rps27
7.578738886460618e-12,-1.0573501407527406,0.246,0.518,1.7689534434887728e-7,Fat: BAT,Myo1c
7.964826697493997e-12,0.5854280283382289,0.927,0.814,1.859070199462074e-7,Fat: BAT,Srsf2
9.052845509101927e-12,2.0073630664717093,0.283,0.121,2.1130246702794809e-7,Fat: BAT,Ins2
9.58924473557492e-12,0.41461397077886797,0.136,0.036,2.238225613730542e-7,Fat: BAT,Gm20594
1.0226461868825302e-11,0.514938564290994,0.178,0.055,2.386958464802514e-7,Fat: BAT,Zbtb10
1.0343637953504903e-11,-1.1654881322054456,0.267,0.504,2.414308534727579e-7,Fat: BAT,Lgals9
1.2145483123672547e-11,-0.8824938750486906,0.183,0.424,2.834877215896409e-7,Fat: BAT,Srsf1
1.2659271477828126e-11,1.3349315417300662,0.429,0.219,2.954800555639863e-7,Fat: BAT,Dusp3
1.2852236527437904e-11,-1.7022400796071468,0.34,0.532,2.999840527869281e-7,Fat: BAT,Cd38
1.2862273041417941e-11,-0.6188527335585001,0.199,0.463,3.0021831505973615e-7,Fat: BAT,Ndufb3
1.5204473338532532e-11,-0.8122356082733653,0.754,0.837,3.548876121946878e-7,Fat: BAT,Lcp1
1.5616554116151607e-11,-1.7924457564127505,0.058,0.284,3.645059896250947e-7,Fat: BAT,Fam129c
1.602691724263204e-11,0.5353892926553483,0.78,0.609,3.740842753602745e-7,Fat: BAT,Rel
1.6292736372069105e-11,-0.9987123328277479,0.597,0.783,3.8028875966046496e-7,Fat: BAT,Arhgef1
1.6438771959917757e-11,-1.5651852893059384,0.23,0.462,3.836973763164404e-7,Fat: BAT,Mta2
1.646752151898854e-11,2.0634477504528337,0.157,0.046,3.8436841977471156e-7,Fat: BAT,Grasp
1.6597441998763982e-11,0.6281192948321854,0.209,0.073,3.874008936931501e-7,Fat: BAT,Cx3cr1
2.1345149440626453e-11,-0.9461443387686845,0.162,0.402,4.98217133093662e-7,Fat: BAT,Fmnl1
2.8429672225605535e-11,-1.4046192940708595,0.277,0.511,6.635769794178587e-7,Fat: BAT,Ccnd3
3.1569244178937135e-11,1.3073956622803502,0.492,0.307,7.368577283805717e-7,Fat: BAT,Myc
3.5352344814861103e-11,0.31227716756009016,1,0.998,8.251590803236731e-7,Fat: BAT,H2-D1
3.980539135981157e-11,-0.4274839555302625,0.497,0.725,9.290976397293619e-7,Fat: BAT,Cox6b1
4.0013695094288424e-11,-0.7654602340656576,0.346,0.588,9.339596571957861e-7,Fat: BAT,Ywhab
4.3888839338303744e-11,0.6593837394387165,0.691,0.465,1.0244093989953477e-6,Fat: BAT,Dcn
5.495775905340764e-11,-1.2603172483199594,0.126,0.358,1.2827690540655879e-6,Fat: BAT,Pycard
6.032783568503462e-11,1.2455404351649033,0.257,0.105,1.4081120127243932e-6,Fat: BAT,Arl5b
6.62919374829901e-11,-0.8862918230500538,0.33,0.571,1.5473201127904718e-6,Fat: BAT,Swap70
6.755750230776798e-11,1.3569836835482487,0.335,0.166,1.5768596613656124e-6,Fat: BAT,Sertad1
6.852644976827842e-11,-0.9091992999002159,0.288,0.518,1.5994758640413867e-6,Fat: BAT,Atrx
7.200028700730947e-11,-0.9386312809042963,0.361,0.585,1.6805586990376104e-6,Fat: BAT,Sash3
7.282906476527726e-11,-0.6548252140984809,0.34,0.591,1.6999032006863364e-6,Fat: BAT,Nedd8
7.597271999671018e-11,-0.6238676179217797,0.168,0.424,1.7732792574432122e-6,Fat: BAT,Pmf1
7.735817320611015e-11,0.5903504150725105,0.812,0.693,1.8056171208038169e-6,Fat: BAT,Cytip
8.325661296407024e-11,-0.7431795627252642,0.628,0.775,1.9432926031943636e-6,Fat: BAT,Hnrnpu
1.3412590999729257e-10,-2.6371880169002258,0.047,0.25,3.1306328652468057e-6,Fat: BAT,Akap12
1.3699800575178077e-10,-0.9649129287196945,0.267,0.502,3.197670452252315e-6,Fat: BAT,Rcc2
1.3978789108247983e-10,-1.8860149703331888,0.079,0.288,3.2627891657561615e-6,Fat: BAT,Pds5a
1.4210126784855707e-10,-0.6666141654052469,0.393,0.638,3.3167856928531705e-6,Fat: BAT,Siglecg
1.546933974994097e-10,-0.699128497936468,0.115,0.354,3.6106985910337217e-6,Fat: BAT,Pnn
2.1684037615596817e-10,-0.9424029534115546,0.215,0.449,5.061271219856453e-6,Fat: BAT,S1pr4
2.2203139726092118e-10,-0.8446309663094667,0.398,0.61,5.1824348434671615e-6,Fat: BAT,Plekha2
2.4106676075484275e-10,1.7304907500819082,0.288,0.136,5.626739262778785e-6,Fat: BAT,Rrad
2.426907626588436e-10,-0.625411451551459,0.293,0.531,5.664645091220069e-6,Fat: BAT,Slc12a6
2.4653645811476885e-10,-0.8990977465175991,0.356,0.592,5.7544074688568195e-6,Fat: BAT,Arhgap30
2.685013075254885e-10,1.0991034792948229,0.466,0.286,6.267089018952428e-6,Fat: BAT,9430023L20Rik
2.753891209302135e-10,-0.5941060096706252,0.613,0.786,6.427857471632113e-6,Fat: BAT,Cnp
2.9967808871734067e-10,-0.9875630838629523,0.225,0.46,6.994786268751449e-6,Fat: BAT,Tnfrsf13b
4.0086015186511076e-10,1.25207026739829,0.283,0.128,9.35647680468355e-6,Fat: BAT,Gadd45a
4.1809474478568013e-10,-1.0048806493819677,0.277,0.511,9.75874943804256e-6,Fat: BAT,Plcg2
4.3337165575110694e-10,-1.2631331494473232,0.508,0.654,1.0115327816886587e-5,Fat: BAT,Csnk2a1
4.411723517392868e-10,-1.8075867990395196,0.052,0.25,1.0297403861946693e-5,Fat: BAT,Xrcc6
4.4737807250923987e-10,-1.3353466222813117,0.12,0.34,1.0442251590438167e-5,Fat: BAT,Pafah1b3
