MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s),category
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of B cell|is a part of T cell,,IDA,,J:76695 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of granule cell|is a part of neuroblast,,IDA,,J:26606 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,"is a part of thymus,is a part of T cell",,IDA,,J:29796 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,"is a part of blood,is a part of blood cell",,IDA,,J:63425 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of B cell,,IDA,,J:27374 J:30539 J:125147 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,"is a part of islets of Langerhans,is a part of pancreatic D cell",,IDA,,J:55511 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of monocyte,,IDA,,J:125138 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of T cell,,IDA,,J:93953 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of thymus|is a part of spleen,,IDA,,J:2873 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,is a part of precursor B cell,,IDA,,J:125142 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,,,IDA,,J:10697 J:25743 J:84929 J:89706 J:125141 J:141145 J:158532 J:163218 J:189787 ,external side of plasma membrane
MGI:88323,Cd24a,CD24a antigen,10,,external side of plasma membrane,,,ISO,Q07490 ,J:73065 ,external side of plasma membrane
MGI:88326,Cd27,CD27 antigen,6,,external side of plasma membrane,,,IDA,,J:174553 J:174697 ,external side of plasma membrane
MGI:88327,Cd28,CD28 antigen,1,,external side of plasma membrane,,,IDA,,J:26220 J:205441 ,external side of plasma membrane
MGI:88327,Cd28,CD28 antigen,1,,external side of plasma membrane,is a part of T cell,,IDA,,J:142709 ,external side of plasma membrane
MGI:88327,Cd28,CD28 antigen,1,,external side of plasma membrane,"is a part of CD4-positive, alpha-beta T cell",,IDA,,J:17350 ,external side of plasma membrane
MGI:88327,Cd28,CD28 antigen,1,,external side of plasma membrane,,,IMP,MGI:1857150 ,J:14194 ,external side of plasma membrane
MGI:88327,Cd28,CD28 antigen,1,,external side of plasma membrane,,,ISO,P10747 ,J:73065 ,external side of plasma membrane
MGI:99440,Cd33,CD33 antigen,7,,external side of plasma membrane,,,ISO,P20138 ,J:163607 ,external side of plasma membrane
MGI:88329,Cd34,CD34 antigen,1,,external side of plasma membrane,"is a part of testis,is a part of stromal cell",,IDA,,J:126330 ,external side of plasma membrane
MGI:88329,Cd34,CD34 antigen,1,,external side of plasma membrane,,,IDA,,J:84599 J:84890 J:148788 J:174203 ,external side of plasma membrane
MGI:88329,Cd34,CD34 antigen,1,,external side of plasma membrane,"is a part of blood,is a part of blood cell|is a part of liver,is a part of blood cell",,IDA,,J:63425 ,external side of plasma membrane
