p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.9713790978911201,0.892,0.371,0,0,Xist
0,0.30544633598925763,0.999,0.966,0,0,Cd52
3.689378083157619e-238,0.3164917674762484,0.984,0.897,8.611377383898199e-234,0,Ly6d
1.2635032292993319e-220,0.42054597099384194,0.929,0.739,2.949142887507571e-216,0,Ms4a1
3.450705630223188e-196,0.3692554601417055,0.934,0.731,8.054292011503943e-192,0,Ltb
7.116733182615312e-180,0.5518805928247652,0.697,0.456,1.6611166921542398e-175,0,Mndal
3.921711922910782e-160,0.5424489992895083,0.596,0.345,9.153667799266056e-156,0,Filip1l
4.71643949832633e-158,0.47163533399684776,0.726,0.527,1.1008641433043488e-153,0,Ptprc
1.0135813886764791e-155,0.5915526409189024,0.557,0.304,2.36580031930977e-151,0,Cr2
7.229710826362505e-155,0.5292450040883204,0.622,0.392,1.687486803981272e-150,0,Ifi203
4.0029657145576886e-150,0.48822094724374976,0.653,0.41,9.3433222743491e-146,0,Swap70
9.361055535788262e-129,0.28736392101769015,0.94,0.867,2.184963972608338e-124,0,Cyba
7.381930736009983e-121,0.4893912079477562,0.402,0.189,1.72301645309209e-116,0,Samd9l
4.115775758182274e-111,0.467293771617571,0.377,0.168,9.606632197173246e-107,0,March1
4.33456411692359e-107,0.4326010960954747,0.593,0.412,1.011730610531135e-102,0,Ralgps2
1.4455536880418178e-105,0.4426267358546033,0.424,0.243,3.374066863258407e-101,0,Eml4
3.858537456413103e-105,0.4117408197631728,0.573,0.379,9.006212277013825e-101,0,Prrc2c
5.672891317721797e-103,0.4233514230507609,0.506,0.314,1.3241095624694446e-98,0,Macf1
1.502298845371354e-100,0.3970285978604311,0.604,0.429,3.506515734981277e-96,0,Tpr
8.482161505418654e-99,0.4026758979457248,0.509,0.337,1.9798213169797682e-94,0,Mycbp2
2.2847092452046236e-95,0.3678883441963561,0.705,0.511,5.332739849232112e-91,0,Bank1
1.383810994018384e-86,0.30477873115358234,0.835,0.713,3.22995324113831e-82,0,Grcc10
6.047989902175909e-83,0.4238175772863165,0.419,0.261,1.4116613230668788e-78,0,Kcnq1ot1
